Manufacturer, Model, Capacity_GB, Write Speed (MB/s), Read Speed (MB/s), Price
ADATA,Enough,120 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1474.07 RON
Corsair,About,240 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,508.7 RON
ADATA,Them,256 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1454.43 RON
Corsair,Move,500 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1219.38 RON
Crucial,Just,512 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,411.69 RON
Western Digital,Federal,240 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,1086.25 RON
ADATA,Staff,240 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,1428.21 RON
Samsung,Sea,500 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,587.86 RON
Crucial,Bar,1000 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,113.8 RON
Western Digital,Special,128 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,1164.04 RON
Samsung,Network,1000 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,517.25 RON
Crucial,Machine,1000 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,386.36 RON
Seagate,Trade,512 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1233.1 RON
Seagate,We,2000 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1249.76 RON
Corsair,Heavy,256 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,771.02 RON
Western Digital,Sometimes,512 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1206.6 RON
Western Digital,They,500 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1477.62 RON
Samsung,Speech,500 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,1242.61 RON
Seagate,Black,1000 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,358.51 RON
ADATA,See,128 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,540.33 RON
Seagate,Seven,2000 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1235.31 RON
Corsair,Free,512 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,309.1 RON
Crucial,Most,2000 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,254.92 RON
ADATA,Crime,512 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,1437.06 RON
Crucial,Plan,240 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1412.52 RON
ADATA,Tend,128 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,1227.25 RON
ADATA,Level,1000 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,451.22 RON
ADATA,Reality,1000 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,385.13 RON
Seagate,Share,120 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1094.13 RON
ADATA,Enough,2000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,382.38 RON
Samsung,New,256 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,1218.15 RON
Seagate,College,128 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,1205.46 RON
Samsung,Wife,2000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1131.68 RON
Seagate,Kitchen,120 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,729.84 RON
Seagate,Son,240 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1039.85 RON
ADATA,Have,2000 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,494.96 RON
Crucial,Open,512 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,137.9 RON
Samsung,Sort,500 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,912.15 RON
Western Digital,Drive,500 GB,Over 5000 MB/s,Over 5000 MB/s,119.09 RON
Seagate,Statement,2000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,153.27 RON
ADATA,Consumer,2000 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,1132.3 RON
Corsair,Consumer,128 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1450.94 RON
Western Digital,Health,240 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,868.07 RON
Western Digital,Season,120 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,463.84 RON
ADATA,Yard,120 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,473.51 RON
Seagate,Wonder,2000 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,909.98 RON
Samsung,Option,240 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,904.52 RON
Crucial,Town,240 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,1063.85 RON
Crucial,Staff,256 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,833.04 RON
Seagate,Include,256 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,465.97 RON
Crucial,Card,500 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,914.69 RON
Western Digital,Relationship,1000 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,196.18 RON
Samsung,Fact,2000 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,494.98 RON
Crucial,Crime,120 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,386.85 RON
ADATA,Time,500 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,718.76 RON
Corsair,Policy,1000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1249.32 RON
Western Digital,Defense,128 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,373.64 RON
Samsung,Age,512 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,406.88 RON
Western Digital,Fund,128 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1044.15 RON
Western Digital,Great,512 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,854.46 RON
Samsung,Rate,240 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,478.09 RON
Crucial,Card,256 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,118.45 RON
Western Digital,Writer,2000 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,1268.18 RON
Seagate,Operation,500 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,1391.42 RON
Seagate,Try,500 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,245.86 RON
Corsair,Leader,512 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,504.49 RON
Western Digital,Country,500 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,297.59 RON
Seagate,Yard,500 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,466.1 RON
Corsair,Research,240 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,876.11 RON
Samsung,Wish,128 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1305.67 RON
ADATA,Time,256 GB,Over 5000 MB/s,Over 5000 MB/s,1344.66 RON
Seagate,Relate,128 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,871.55 RON
Western Digital,Various,512 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,536.64 RON
Seagate,Future,1000 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,156.83 RON
Corsair,Them,240 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,1154.33 RON
Crucial,Animal,120 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,324.78 RON
Western Digital,Stock,256 GB,Over 5000 MB/s,Over 5000 MB/s,658.55 RON
Western Digital,Rich,2000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,666.33 RON
Western Digital,Really,512 GB,Over 5000 MB/s,Over 5000 MB/s,483.0 RON
Crucial,Something,256 GB,Over 5000 MB/s,Over 5000 MB/s,1173.49 RON
Crucial,Near,2000 GB,Over 5000 MB/s,Over 5000 MB/s,248.78 RON
Samsung,Anything,120 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,928.39 RON
Seagate,Soldier,2000 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,963.37 RON
Crucial,Summer,500 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,1281.29 RON
Western Digital,Campaign,1000 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1096.48 RON
ADATA,Attorney,500 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,329.98 RON
Seagate,Though,240 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,363.66 RON
Crucial,Either,512 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,619.33 RON
Western Digital,Only,2000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,288.45 RON
Samsung,Control,500 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1337.53 RON
Seagate,Somebody,500 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,903.39 RON
Western Digital,Join,512 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,233.14 RON
Corsair,Effort,512 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,550.09 RON
Western Digital,New,1000 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,1075.83 RON
Crucial,Before,120 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1114.8 RON
Crucial,Economic,1000 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,335.03 RON
ADATA,Recently,120 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,327.61 RON
Samsung,Allow,120 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,172.59 RON
Corsair,Later,256 GB,Over 5000 MB/s,Over 5000 MB/s,81.16 RON
Corsair,Entire,120 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,444.18 RON
ADATA,One,2000 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,372.16 RON
Western Digital,New,2000 GB,Over 5000 MB/s,Over 5000 MB/s,814.16 RON
Seagate,Vote,120 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,918.64 RON
ADATA,Old,256 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,396.43 RON
Corsair,Seem,512 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,811.04 RON
Western Digital,However,128 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,419.78 RON
Corsair,Truth,256 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,944.61 RON
Samsung,Seem,1000 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,1465.64 RON
Seagate,Bill,128 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,732.0 RON
Seagate,Throw,2000 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,623.52 RON
Samsung,Tv,512 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1039.85 RON
Western Digital,Usually,256 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1456.8 RON
ADATA,Its,500 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,390.23 RON
Samsung,Along,240 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,226.92 RON
Crucial,Field,500 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,135.17 RON
Western Digital,Increase,512 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,220.93 RON
Corsair,More,1000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,325.77 RON
Western Digital,Consider,512 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,390.54 RON
Western Digital,Consumer,128 GB,Between 2500 - 3000 MB/s,Between 3000 - 4000 MB/s,416.15 RON
Western Digital,Truth,512 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,923.9 RON
Seagate,Serve,1000 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,729.68 RON
ADATA,Cup,240 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,870.91 RON
Seagate,Black,128 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1136.7 RON
Corsair,Soon,120 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,850.81 RON
Corsair,Room,2000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,174.14 RON
Corsair,Account,256 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,561.45 RON
Seagate,Catch,512 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1274.83 RON
Western Digital,Easy,240 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,456.38 RON
Crucial,Serious,120 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1417.61 RON
Crucial,Worker,512 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1493.83 RON
Corsair,Close,256 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,745.41 RON
Samsung,Fine,240 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,1427.27 RON
Crucial,Spend,256 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1204.27 RON
Seagate,Start,512 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,1477.47 RON
Seagate,Alone,2000 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,723.38 RON
Samsung,They,128 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,415.5 RON
Seagate,Can,256 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,1038.72 RON
Seagate,Base,512 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,272.8 RON
Western Digital,Skin,120 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,598.69 RON
Corsair,Necessary,2000 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,1075.78 RON
Corsair,Different,256 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,982.39 RON
Western Digital,Quality,256 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,836.71 RON
Corsair,Author,256 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,757.5 RON
Corsair,Next,500 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,1306.28 RON
Samsung,Low,128 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,1385.02 RON
ADATA,Notice,256 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,1029.24 RON
Seagate,Dream,512 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,673.87 RON
Crucial,Either,128 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,1206.29 RON
Corsair,With,1000 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1188.55 RON
ADATA,Century,2000 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,140.54 RON
Corsair,Foreign,512 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,155.63 RON
Corsair,Sign,1000 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,397.61 RON
Samsung,News,128 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,236.49 RON
ADATA,All,240 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,440.69 RON
ADATA,Over,2000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1473.89 RON
Seagate,Mind,240 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,889.4 RON
Western Digital,Act,1000 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,1163.8 RON
ADATA,Mr,1000 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1018.59 RON
Crucial,Knowledge,512 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,685.32 RON
Seagate,Last,256 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,535.29 RON
ADATA,Offer,500 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,1296.55 RON
Corsair,Summer,128 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,562.06 RON
Crucial,Decide,128 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,412.13 RON
Corsair,Concern,120 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,368.23 RON
Samsung,Season,2000 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,664.19 RON
Seagate,People,500 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,380.41 RON
Crucial,Spring,240 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1430.92 RON
Western Digital,Provide,120 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,671.12 RON
Samsung,Free,1000 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,252.12 RON
Samsung,World,240 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,203.07 RON
Samsung,Religious,2000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1132.18 RON
Samsung,Night,500 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,497.17 RON
Western Digital,By,512 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,850.16 RON
Western Digital,Our,1000 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,281.98 RON
ADATA,Down,500 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1074.02 RON
Samsung,Friend,240 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,1354.13 RON
Seagate,Case,256 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,570.02 RON
Corsair,Authority,2000 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1467.43 RON
Crucial,Magazine,240 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,1196.3 RON
Seagate,Safe,512 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,138.88 RON
Crucial,Class,240 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1054.82 RON
Western Digital,Beat,256 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1144.93 RON
Seagate,American,1000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1058.49 RON
Corsair,Region,128 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,790.22 RON
ADATA,Establish,500 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,708.84 RON
Corsair,Young,1000 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,820.28 RON
Western Digital,However,1000 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,641.21 RON
Western Digital,American,256 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,651.82 RON
Western Digital,Investment,120 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,1025.36 RON
Samsung,Country,256 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,1453.75 RON
Crucial,Movement,128 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1490.14 RON
Crucial,Education,2000 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,842.41 RON
